time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-10T22:12:17.934Z,64.0279,-149.8659,5.8,1.9,ml,,,,1.28,ak,ak0211w67dpu,2021-02-10T22:18:22.093Z,"36 km W of Ferry, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-02-10T22:09:41.621Z,-24.1696,-67.1491,207.97,4.1,mb,,98,1.536,0.72,us,us6000dgf2,2021-02-11T02:43:18.040Z,"84 km W of San Antonio de los Cobres, Argentina",earthquake,10.4,13.2,0.235,5,reviewed,us,us
2021-02-10T22:04:51.499Z,11.6875,-86.0268,148.17,4.4,mb,,154,0.49,0.41,us,us6000dgew,2021-02-10T22:29:15.040Z,"8 km SSE of Nandaime, Nicaragua",earthquake,4.4,4.7,0.085,40,reviewed,us,us
2021-02-10T22:03:44.726Z,-23.246,171.5699,10,5.2,mb,,102,8.176,0.82,us,us6000dgf8,2021-02-10T22:42:25.040Z,"southeast of the Loyalty Islands",earthquake,6,1.8,0.055,109,reviewed,us,us
2021-02-10T21:57:12.159Z,-22.8373,171.2467,10,5.3,mb,,108,8.151,0.78,us,us6000dgen,2021-02-10T22:13:54.040Z,"southeast of the Loyalty Islands",earthquake,11.6,1.9,0.081,51,reviewed,us,us
2021-02-10T21:50:13.374Z,38.1959,-117.7346,9.1,1.9,ml,25,121.51,0.033,0.1365,nn,nn00800056,2021-02-11T02:31:42.206Z,"39 km ESE of Mina, Nevada",earthquake,,1,0.33,9,reviewed,nn,nn
2021-02-10T21:50:00.361Z,-23.3062,171.5985,10,5.3,mb,,102,8.195,0.94,us,us6000dget,2021-02-10T22:20:48.040Z,"southeast of the Loyalty Islands",earthquake,13,1.8,0.09,41,reviewed,us,us
2021-02-10T21:45:54.460Z,38.7775002,-122.758667,0.91,2.01,md,34,84,0.01808,0.07,nc,nc73521291,2021-02-11T01:18:04.817Z,"0km W of The Geysers, CA",earthquake,0.22,0.36,0.23,12,automatic,nc,nc
2021-02-10T21:44:01.030Z,33.3331667,-116.8006667,16.92,0.88,ml,34,40,0.05575,0.17,ci,ci39548055,2021-02-10T22:00:34.119Z,"6km ESE of Palomar Observatory, CA",earthquake,0.26,0.55,0.142,28,reviewed,ci,ci
2021-02-10T21:40:35.101Z,-23.213,171.5677,10,5.6,mb,,69,8.156,1.09,us,us6000dgeb,2021-02-10T23:43:16.720Z,"southeast of the Loyalty Islands",earthquake,10.2,1.9,0.078,57,reviewed,us,us
2021-02-10T21:39:56.260Z,38.7801666,-122.757164,0.99,1.92,md,35,47,0.01157,0.05,nc,nc73521281,2021-02-11T01:03:05.720Z,"0km NNW of The Geysers, CA",earthquake,0.21,0.29,0.18,10,automatic,nc,nc
2021-02-10T21:36:03.762Z,-23.4662,171.5903,10,5.5,mb,,64,8.307,1.23,us,us6000dgeg,2021-02-11T01:58:31.842Z,"southeast of the Loyalty Islands",earthquake,9.1,1.6,0.051,135,reviewed,us,us
2021-02-10T21:34:21.141Z,38.2072,-117.7923,8,1.2,ml,18,112.35,0.042,0.1291,nn,nn00800049,2021-02-11T02:31:40.032Z,"34 km SE of Mina, Nevada",earthquake,,0.9,0.29,5,reviewed,nn,nn
2021-02-10T21:33:42.710Z,33.8756667,-117.4995,-0.56,0.84,ml,18,88,0.07369,0.18,ci,ci39548031,2021-02-10T23:49:16.362Z,"2km E of Home Gardens, CA",quarry blast,0.39,31.61,0.08,12,reviewed,ci,ci
2021-02-10T21:27:57.514Z,38.1935,-117.7377,10.1,1.4,ml,19,117.45,0.035,0.1592,nn,nn00800046,2021-02-11T02:31:38.464Z,"39 km SE of Mina, Nevada",earthquake,,1,0.73,6,reviewed,nn,nn
2021-02-10T21:23:59.743Z,-23.2604,171.621,10,6.4,mww,,27,8.15,1.11,us,us6000dge5,2021-02-10T23:30:00.960Z,"southeast of the Loyalty Islands",earthquake,5.7,1.8,0.058,29,reviewed,us,us
2021-02-10T21:18:42.021Z,64.8612,-133.7309,10.66,4.2,mwr,,149,0.982,0.42,us,us6000dgdt,2021-02-11T02:25:15.040Z,"288 km ENE of Dawson City, Canada",earthquake,4.5,3.9,0.05,39,reviewed,us,us
2021-02-10T21:17:51.240Z,-23.1036,171.3565,10,5.2,mb,,112,8.235,1.05,us,us6000dge3,2021-02-10T21:42:25.040Z,"southeast of the Loyalty Islands",earthquake,12.5,1.9,0.052,120,reviewed,us,us
2021-02-10T21:15:46.404Z,62.4553,-150.8724,68,2.1,ml,,,,0.54,ak,ak0211w5mn9a,2021-02-10T21:29:17.034Z,"7 km SW of Petersville, Alaska",earthquake,,0.9,,,automatic,ak,ak
